*********************************************************************
Spectrum LCDSmartie Plugin by Dave Perrow 8th March 2012
SPC plugin version 1.2.231.1268
Log file Opened at 12/01/22 13:33:49
*********************************************************************
13:33:49.401 Log file Opened at 12/01/22 13:33:49
13:33:49.401 OS = 6.2
13:33:49.401 SPC_read_cfg_file: Started
13:33:49.401 SPC_read_cfg_file: File Opened
13:33:49.401 SPC_read_cfg_file: AudioDevice=0
13:33:49.401 SPC_read_cfg_file: AudioInput=0
13:33:49.401 SPC_read_cfg_file: Scaling=1.000000
13:33:49.401 SPC_read_cfg_file: UseWasapi=1
13:33:49.401 SPC_read_cfg_file: BlackChar=0
13:33:49.401 SPC_read_cfg_file: BottomLine=0
13:33:49.401 SPC_read_cfg_file: AutoScale=1
13:33:49.401 SPC_read_cfg_file: MaxScale=3.000000
13:33:49.401 SPC_read_cfg_file: MinScale=0.100000
13:33:49.401 SPC_read_cfg_file: UpFactor=0.010000
13:33:49.401 SPC_read_cfg_file: DownFactor=0.010000
13:33:49.401 SPC_read_cfg_file: ScaleBar=0
13:33:49.401 SPC_read_cfg_file: Finished
13:33:49.691 SPC_init entry=67, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.694 SPC_init entry=68, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (3- AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.696 SPC_init entry=69, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (3- AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.699 SPC_init entry=70, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Audio (HDMI) (High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.701 SPC_init entry=71, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Audio (HDMI) (High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.704 SPC_init entry=72, type=10, mixfreq=0, mixchans=0, flags=0, name=Internal AUX Jack (High Definition Audio Device) [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.706 SPC_init entry=73, type=10, mixfreq=0, mixchans=0, flags=24, name=Internal AUX Jack (High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.709 SPC_init entry=74, type=1, mixfreq=0, mixchans=0, flags=0, name=Speakers (High Definition Audio Device) [BASS_WASAPI_TYPE_SPEAKERS]
13:33:49.711 SPC_init entry=75, type=1, mixfreq=0, mixchans=0, flags=24, name=Speakers (High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_SPEAKERS]
13:33:49.713 SPC_init entry=76, type=2, mixfreq=0, mixchans=0, flags=16, name=MIDI (Intel WiDi Audio Device)[Input] [BASS_WASAPI_TYPE_LINELEVEL]
13:33:49.716 SPC_init entry=77, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.718 SPC_init entry=78, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (3- AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.720 SPC_init entry=79, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (2- AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.723 SPC_init entry=80, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.725 SPC_init entry=81, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (2- AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.728 SPC_init entry=82, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.730 SPC_init entry=83, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (3- AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.733 SPC_init entry=84, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (2- AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.735 SPC_init entry=85, type=2, mixfreq=0, mixchans=0, flags=16, name=MIDI (2- Intel WiDi Audio Device)[Input] [BASS_WASAPI_TYPE_LINELEVEL]
13:33:49.738 SPC_init entry=86, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.740 SPC_init entry=87, type=8, mixfreq=0, mixchans=0, flags=16, name=Digital Audio (S/PDIF) (High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_SPDIF]
13:33:49.743 SPC_init entry=88, type=4, mixfreq=0, mixchans=0, flags=16, name=Microphone (High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_MICROPHONE]
13:33:49.745 SPC_init entry=89, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.748 SPC_init entry=90, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (MIDI function)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.750 SPC_init entry=91, type=2, mixfreq=0, mixchans=0, flags=16, name=Line In (VIA HD Audio(Win8))[Input] [BASS_WASAPI_TYPE_LINELEVEL]
13:33:49.753 SPC_init entry=92, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (3- AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.755 SPC_init entry=93, type=8, mixfreq=0, mixchans=0, flags=16, name=SPDIF Interface (VIA HD Audio(Win8))[Input] [BASS_WASAPI_TYPE_SPDIF]
13:33:49.758 SPC_init entry=94, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (2- AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.760 SPC_init entry=95, type=2, mixfreq=0, mixchans=0, flags=16, name=Line In (High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_LINELEVEL]
13:33:49.763 SPC_init entry=96, type=4, mixfreq=0, mixchans=0, flags=16, name=Microphone (VIA HD Audio(Win8))[Input] [BASS_WASAPI_TYPE_MICROPHONE]
13:33:49.765 SPC_init entry=97, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.767 SPC_init entry=98, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.770 SPC_init entry=99, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.772 SPC_init entry=100, type=2, mixfreq=0, mixchans=0, flags=16, name=Stereo Mix (VIA HD Audio(Win8))[Input] [BASS_WASAPI_TYPE_LINELEVEL]
13:33:49.775 SPC_init entry=101, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.777 SPC_init entry=102, type=2, mixfreq=0, mixchans=0, flags=16, name=MIDI (2- Intel WiDi Audio Device)[Input] [BASS_WASAPI_TYPE_LINELEVEL]
13:33:49.779 SPC_init entry=103, type=2, mixfreq=0, mixchans=0, flags=16, name=MIDI (Intel WiDi Audio Device)[Input] [BASS_WASAPI_TYPE_LINELEVEL]
13:33:49.782 SPC_init entry=104, type=8, mixfreq=0, mixchans=0, flags=16, name=SPDIF Interface (2- Intel WiDi Audio Device)[Input] [BASS_WASAPI_TYPE_SPDIF]
13:33:49.784 SPC_init entry=105, type=8, mixfreq=0, mixchans=0, flags=16, name=SPDIF Interface (Intel WiDi Audio Device)[Input] [BASS_WASAPI_TYPE_SPDIF]
13:33:49.787 SPC_init entry=106, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.789 SPC_init entry=107, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (2- AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.791 SPC_init entry=108, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.794 SPC_init entry=109, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (3- AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.796 SPC_init entry=110, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.799 SPC_init entry=111, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.801 SPC_init entry=112, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.803 SPC_init entry=113, type=4, mixfreq=0, mixchans=0, flags=16, name=Microphone (High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_MICROPHONE]
13:33:49.806 SPC_init entry=114, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (2- AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.808 SPC_init entry=115, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (3- AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.810 SPC_init entry=116, type=10, mixfreq=0, mixchans=0, flags=16, name=Internal AUX Jack (3- AMD High Definition Audio Device)[Input] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.810 SPC_init Chosen audio device is 13
*********************************************************************
Spectrum LCDSmartie Plugin by Dave Perrow 8th March 2012
SPC plugin version 1.2.231.1268
Log file Closed at 12/01/22 13:33:55
*********************************************************************
